"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1974-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","52064","","","","0"
"1975-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","43448","","","","0"
"1975-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","51459","","","","0"
"1975-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","54550","","","","0"
"1975-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","38424","","","","0"
"1976-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","32359","","","","0"
"1976-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","44695","","","","0"
"1976-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","41539","","","","0"
"1976-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","30836","","","","0"
"1977-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","26048","","","","0"
"1977-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","32508","","","","0"
"1977-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","33797","","","","0"
"1977-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","22561","","","","0"
"1978-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","20332","","","","0"
"1978-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","24277","","","","0"
"1978-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","21948","","","","0"
"1978-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","19756","","","","0"
"1979-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","18866","","","","0"
"1979-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","23948","","","","0"
"1979-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","32052","","","","0"
"1979-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","37230","","","","0"
"1980-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","34349","","","","0"
"1980-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","40194","","","","0"
"1980-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","37376","","","","0"
"1980-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","31579","","","","0"
"1981-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","26789","","","","0"
"1981-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","31494","","","","0"
"1981-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","35931","","","","0"
"1981-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","34580","","","","0"
"1982-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","29707","","","","0"
"1982-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","35121","","","","0"
"1982-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","29700","","","","0"
"1982-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","26803","","","","0"
"1983-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","22002","","","","0"
"1983-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","22899","","","","0"
"1983-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","23008","","","","0"
"1983-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","21468","","","","0"
"1984-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","19052","","","","0"
"1984-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","25064","","","","0"
"1984-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","24881","","","","0"
"1984-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","19602","","","","0"
"1985-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","18221","","","","0"
"1985-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","21221","","","","0"
"1985-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","24330","","","","0"
"1985-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","20567","","","","0"
"1986-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","19342","","","","0"
"1986-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","24418","","","","0"
"1986-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","26207","","","","0"
"1986-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","29376","","","","0"
"1987-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","34688","","","","0"
"1987-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","40609","","","","0"
"1987-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","42535","","","","0"
"1987-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","34199","","","","0"
"1988-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","32999","","","","0"
"1988-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","42478","","","","0"
"1988-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","47242","","","","0"
"1988-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","38815","","","","0"
"1989-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","40480","","","","0"
"1989-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","51095","","","","0"
"1989-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","53775","","","","0"
"1989-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","46166","","","","0"
"1990-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","43297","","","","0"
"1990-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","60119","","","","0"
"1990-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","62927","","","","0"
"1990-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","50081","","","","0"
"1991-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","51621","","","","0"
"1991-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","56753","","","","0"
"1991-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","54876","","","","0"
"1991-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69526","","","","0"
"1992-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","56579","","","","0"
"1992-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","63300","","","","0"
"1992-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","70126","","","","0"
"1992-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","64851","","","","0"
"1993-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","62298","","","","0"
"1993-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69615","","","","0"
"1993-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","71534","","","","0"
"1993-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","53307","","","","0"
"1994-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","50665","","","","0"
"1994-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","59854","","","","0"
"1994-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","66559","","","","0"
"1994-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","47317","","","","0"
"1995-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","50904","","","","0"
"1995-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","55958","","","","0"
"1995-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","58259","","","","0"
"1995-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","47754","","","","0"
"1996-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","51288","","","","0"
"1996-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","60177","","","","0"
"1996-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","62750","","","","0"
"1996-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","51846","","","","0"
"1997-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","52844","","","","0"
"1997-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","57417","","","","0"
"1997-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","60845","","","","0"
"1997-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","44928","","","","0"
"1998-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","42813","","","","0"
"1998-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","45873","","","","0"
"1998-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","47317","","","","0"
"1998-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","38181","","","","0"
"1999-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","40153","","","","0"
"1999-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","47543","","","","0"
"1999-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","53841","","","","0"
"1999-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","48434","","","","0"
"2000-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","45564","","","","0"
"2000-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","57871","","","","0"
"2000-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","66518","","","","0"
"2000-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","57476","","","","0"
"2001-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","58485","","","","0"
"2001-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","70048","","","","0"
"2001-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69951","","","","0"
"2001-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","52154","","","","0"
"2002-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","61589","","","","0"
"2002-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","72711","","","","0"
"2002-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","52919","","","","0"
"2002-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","41830","","","","0"
"2003-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","45558","","","","0"
"2003-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","58863","","","","0"
"2003-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","63340","","","","0"
"2003-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","53588","","","","0"
"2004-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","54914","","","","0"
"2004-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","67241","","","","0"
"2004-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","65579","","","","0"
"2004-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","48090","","","","0"
"2005-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","56438","","","","0"
"2005-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","74471","","","","0"
"2005-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","75945","","","","0"
"2005-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","55386","","","","0"
"2006-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","55134","","","","0"
"2006-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","67909","","","","0"
"2006-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","70356","","","","0"
"2006-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","58245","","","","0"
"2007-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","47875","","","","0"
"2007-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","61649","","","","0"
"2007-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","71657","","","","0"
"2007-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","55573","","","","0"
"2008-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","53145","","","","0"
"2008-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69247","","","","0"
"2008-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","71312","","","","0"
"2008-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","53543","","","","0"
"2009-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","50783","","","","0"
"2009-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69651","","","","0"
"2009-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","75390","","","","0"
"2009-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","56353","","","","0"
"2010-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","58041","","","","0"
"2010-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","80797","","","","0"
"2010-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","84292","","","","0"
"2010-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","57552","","","","0"
"2011-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","49570","","","","0"
"2011-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","67696","","","","0"
"2011-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","71864","","","","0"
"2011-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","59603","","","","0"
"2012-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","55563","","","","0"
"2012-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","73006","","","","0"
"2012-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","66902","","","","0"
"2012-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","62338","","","","0"
"2013-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","58253","","","","0"
"2013-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","75608","","","","0"
"2013-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","65406","","","","0"
"2013-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","59771","","","","0"
"2014-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","64458","","","","0"
"2014-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","78289","","","","0"
"2014-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","65542","","","","0"
"2014-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","52007","","","","0"
"2015-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","51123","","","","0"
"2015-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","72091","","","","0"
"2015-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","78902","","","","0"
"2015-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69741","","","","0"
"2016-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","86247","","","","0"
"2016-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","88302","","","","0"
"2016-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","68242","","","","0"
"2016-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","53614","","","","0"
"2017-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","72839","","","","0"
"2017-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","78012","","","","0"
"2017-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","70109","","","","0"
"2017-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","65530","","","","0"
"2018-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","80007","","","","0"
"2018-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","87679","","","","0"
"2018-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","82283","","","","0"
"2018-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","71080","","","","0"
"2019-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","65957","","","","0"
"2019-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","94281","","","","0"
"2019-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","103719","","","","0"
"2019-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","77235","","","","0"
"2020-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69133","","","","0"
"2020-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","34070","","","","0"
"2020-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","40116","","","","0"
"2020-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","41267","","","","0"
"2021-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","70467","","","","0"
"2021-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","74353","","","","0"
"2021-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","122748","","","","0"
"2021-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","138182","","","","0"
"1970-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","17651","","","","0"
"1970-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","19336","","","","0"
"1970-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","24273","","","","0"
"1970-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","19701","","","","0"
"1971-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","16594","","","","0"
"1971-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","16951","","","","0"
"1971-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","19835","","","","0"
"1971-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","16717","","","","0"
"1972-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14340","","","","0"
"1972-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","15142","","","","0"
"1972-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","19340","","","","0"
"1972-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14416","","","","0"
"1973-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","13454","","","","0"
"1973-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","16640","","","","0"
"1973-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","26364","","","","0"
"1973-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","22025","","","","0"
"1974-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","16430","","","","0"
"1974-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","18682","","","","0"
"1974-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","22047","","","","0"
"1974-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","20890","","","","0"
"1975-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","17989","","","","0"
"1975-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","17095","","","","0"
"1975-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","19095","","","","0"
"1975-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","16537","","","","0"
"1976-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14250","","","","0"
"1976-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","16832","","","","0"
"1976-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","18803","","","","0"
"1976-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14478","","","","0"
"1977-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","10827","","","","0"
"1977-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","13699","","","","0"
"1977-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","20837","","","","0"
"1977-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","16046","","","","0"
"1978-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","11992","","","","0"
"1978-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14446","","","","0"
"1978-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","20924","","","","0"
"1978-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","16112","","","","0"
"1979-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","12044","","","","0"
"1979-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","13278","","","","0"
"1979-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","17929","","","","0"
"1979-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","11498","","","","0"
"1980-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","9376","","","","0"
"1980-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","11076","","","","0"
"1980-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","14255","","","","0"
"1980-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","10518","","","","0"
"1981-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","8662","","","","0"
"1981-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","11428","","","","0"
"1981-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","17734","","","","0"
"1981-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","12228","","","","0"
"1982-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","11216","","","","0"
"1982-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","13608","","","","0"
"1982-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","20895","","","","0"
"1982-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","13681","","","","0"
"1983-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","10694","","","","0"
"1983-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","13956","","","","0"
"1983-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","21186","","","","0"
"1983-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","12735","","","","0"
"1984-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","10655","","","","0"
"1984-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","13194","","","","0"
"1984-07","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","18911","","","","0"
"1984-10","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","12481","","","","0"
"1985-01","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","11033","","","","0"
"1985-04","Canada","2016A000011124","Emigrants","Persons","249","units","0","v29850343","1.2","12777","","","","0"
