"date","region","cases","cumulative_cases"
2020-03-27,"South Central",0,3
2020-03-27,"South East",0,1
2020-03-27,"South West",0,1
2020-03-28,"Central East",0,9
2020-03-28,"Central West",0,4
2020-03-28,"Far North Central",0,0
2020-03-28,"Far North East",0,3
2020-03-28,"Far North West",0,0
2020-03-28,"North Central",1,28
2020-03-28,"North East",0,1
2020-03-28,"North West",5,6
2020-03-28,"Not Assigned",0,0
2020-03-28,"Regina",2,33
2020-03-28,"Saskatoon",13,64
2020-03-28,"South Central",0,3
2020-03-28,"South East",0,1
2020-03-28,"South West",0,1
2020-03-29,"Central East",0,9
2020-03-29,"Central West",0,4
2020-03-29,"Far North Central",0,0
2020-03-29,"Far North East",0,3
2020-03-29,"Far North West",0,0
2020-03-29,"North Central",3,31
2020-03-29,"North East",0,1
2020-03-29,"North West",1,7
2020-03-29,"Not Assigned",0,0
2020-03-29,"Regina",2,35
2020-03-29,"Saskatoon",12,76
2020-03-29,"South Central",0,3
2020-03-29,"South East",2,3
2020-03-29,"South West",0,1
2020-03-30,"Central East",1,10
2020-03-30,"Central West",0,4
2020-03-30,"Far North Central",0,0
2020-03-30,"Far North East",0,3
2020-03-30,"Far North West",0,0
2020-03-30,"North Central",0,31
2020-03-30,"North East",0,1
2020-03-30,"North West",0,7
2020-03-30,"Not Assigned",0,0
2020-03-30,"Regina",3,38
2020-03-30,"Saskatoon",4,80
2020-03-30,"South Central",0,3
2020-03-30,"South East",0,3
2020-03-30,"South West",0,1
2020-03-31,"Central East",0,10
2020-03-31,"Central West",0,4
2020-03-31,"Far North Central",0,0
2020-03-31,"Far North East",0,3
2020-03-31,"Far North West",0,0
2020-03-31,"North Central",1,32
2020-03-31,"North East",0,1
2020-03-31,"North West",0,7
2020-03-31,"Not Assigned",0,0
2020-03-31,"Regina",4,42
2020-03-31,"Saskatoon",3,83
2020-03-31,"South Central",1,4
2020-03-31,"South East",0,3
2020-03-31,"South West",0,1
2020-04-01,"Central East",4,14
2020-04-01,"Central West",0,4
2020-04-01,"Far North Central",0,0
2020-04-01,"Far North East",0,3
2020-04-01,"Far North West",0,0
2020-04-01,"North Central",0,32
2020-04-01,"North East",0,1
2020-04-01,"North West",1,8
2020-04-01,"Not Assigned",0,0
2020-04-01,"Regina",1,43
2020-04-01,"Saskatoon",5,88
2020-04-01,"South Central",1,5
2020-04-01,"South East",1,4
2020-04-01,"South West",0,1
2020-04-02,"Central East",1,15
2020-04-02,"Central West",0,4
2020-04-02,"Far North Central",0,0
2020-04-02,"Far North East",0,3
2020-04-02,"Far North West",0,0
2020-04-02,"North Central",0,32
2020-04-02,"North East",1,2
2020-04-02,"North West",2,10
2020-04-02,"Not Assigned",0,0
2020-04-02,"Regina",1,44
2020-04-02,"Saskatoon",5,93
2020-04-02,"South Central",1,6
2020-04-02,"South East",0,4
2020-04-02,"South West",0,1
2020-04-03,"Central East",0,15
2020-04-03,"Central West",1,5
2020-04-03,"Far North Central",0,0
2020-04-03,"Far North East",0,3
2020-04-03,"Far North West",0,0
2020-04-03,"North Central",0,32
2020-04-03,"North East",1,3
2020-04-03,"North West",0,10
2020-04-03,"Not Assigned",0,0
2020-04-03,"Regina",4,48
2020-04-03,"Saskatoon",1,94
2020-04-03,"South Central",1,7
2020-04-03,"South East",1,5
2020-04-03,"South West",2,3
2020-04-04,"Central East",0,15
2020-04-04,"Central West",0,5
2020-04-04,"Far North Central",0,0
2020-04-04,"Far North East",0,3
2020-04-04,"Far North West",0,0
2020-04-04,"North Central",1,33
2020-04-04,"North East",1,4
2020-04-04,"North West",0,10
2020-04-04,"Not Assigned",0,0
2020-04-04,"Regina",1,49
2020-04-04,"Saskatoon",11,105
2020-04-04,"South Central",1,8
2020-04-04,"South East",0,5
2020-04-04,"South West",1,4
2020-04-05,"Central East",1,16
2020-04-05,"Central West",0,5
2020-04-05,"Far North Central",0,0
2020-04-05,"Far North East",0,3
2020-04-05,"Far North West",0,0
2020-04-05,"North Central",0,33
2020-04-05,"North East",0,4
2020-04-05,"North West",0,10
2020-04-05,"Not Assigned",0,0
2020-04-05,"Regina",0,49
2020-04-05,"Saskatoon",3,108
2020-04-05,"South Central",0,8
2020-04-05,"South East",0,5
2020-04-05,"South West",0,4
2020-04-06,"Central East",0,16
2020-04-06,"Central West",0,5
2020-04-06,"Far North Central",0,0
2020-04-06,"Far North East",1,4
2020-04-06,"Far North West",0,0
2020-04-06,"North Central",1,34
2020-04-06,"North East",0,4
2020-04-06,"North West",0,10
2020-04-06,"Not Assigned",0,0
2020-04-06,"Regina",1,50
2020-04-06,"Saskatoon",4,112
2020-04-06,"South Central",0,8
2020-04-06,"South East",0,5
2020-04-06,"South West",0,4
2020-04-07,"Central East",0,16
2020-04-07,"Central West",0,5
2020-04-07,"Far North Central",0,0
2020-04-07,"Far North East",0,4
2020-04-07,"Far North West",0,0
2020-04-07,"North Central",1,35
2020-04-07,"North East",0,4
2020-04-07,"North West",3,13
2020-04-07,"Not Assigned",0,0
2020-04-07,"Regina",4,54
2020-04-07,"Saskatoon",3,115
2020-04-07,"South Central",0,8
2020-04-07,"South East",0,5
2020-04-07,"South West",0,4
2020-04-08,"Central East",0,16
2020-04-08,"Central West",0,5
2020-04-08,"Far North Central",0,0
2020-04-08,"Far North East",1,5
2020-04-08,"Far North West",0,0
2020-04-08,"North Central",1,36
2020-04-08,"North East",0,4
2020-04-08,"North West",0,13
2020-04-08,"Not Assigned",0,0
2020-04-08,"Regina",2,56
2020-04-08,"Saskatoon",3,118
2020-04-08,"South Central",0,8
2020-04-08,"South East",0,5
2020-04-08,"South West",0,4
2020-04-09,"Central East",0,16
2020-04-09,"Central West",0,5
2020-04-09,"Far North Central",0,0
2020-04-09,"Far North East",1,6
2020-04-09,"Far North West",0,0
2020-04-09,"North Central",0,36
2020-04-09,"North East",0,4
2020-04-09,"North West",0,13
2020-04-09,"Not Assigned",0,0
2020-04-09,"Regina",2,58
2020-04-09,"Saskatoon",3,121
2020-04-09,"South Central",0,8
2020-04-09,"South East",0,5
2020-04-09,"South West",0,4
2020-04-10,"Central East",0,16
2020-04-10,"Central West",0,5
2020-04-10,"Far North Central",0,0
2020-04-10,"Far North East",0,6
2020-04-10,"Far North West",1,1
2020-04-10,"North Central",0,36
2020-04-10,"North East",0,4
2020-04-10,"North West",0,13
2020-04-10,"Not Assigned",0,0
2020-04-10,"Regina",0,58
2020-04-10,"Saskatoon",4,125
2020-04-10,"South Central",0,8
2020-04-10,"South East",0,5
2020-04-10,"South West",0,4
2020-04-11,"Central East",0,16
2020-04-11,"Central West",0,5
2020-04-11,"Far North Central",0,0
2020-04-11,"Far North East",0,6
2020-04-11,"Far North West",0,1
2020-04-11,"North Central",1,37
2020-04-11,"North East",0,4
2020-04-11,"North West",1,14
2020-04-11,"Not Assigned",0,0
2020-04-11,"Regina",3,61
2020-04-11,"Saskatoon",2,127
2020-04-11,"South Central",0,8
2020-04-11,"South East",0,5
2020-04-11,"South West",0,4
2020-04-12,"Central East",0,16
2020-04-12,"Central West",0,5
2020-04-12,"Far North Central",0,0
2020-04-12,"Far North East",0,6
2020-04-12,"Far North West",0,1
2020-04-12,"North Central",2,39
2020-04-12,"North East",0,4
2020-04-12,"North West",0,14
2020-04-12,"Not Assigned",0,0
2020-04-12,"Regina",2,63
2020-04-12,"Saskatoon",0,127
2020-04-12,"South Central",0,8
2020-04-12,"South East",0,5
2020-04-12,"South West",0,4
2020-04-13,"Central East",0,16
2020-04-13,"Central West",0,5
2020-04-13,"Far North Central",0,0
2020-04-13,"Far North East",0,6
2020-04-13,"Far North West",0,1
2020-04-13,"North Central",0,39
2020-04-13,"North East",0,4
2020-04-13,"North West",1,15
2020-04-13,"Not Assigned",0,0
2020-04-13,"Regina",0,63
2020-04-13,"Saskatoon",0,127
2020-04-13,"South Central",0,8
2020-04-13,"South East",0,5
2020-04-13,"South West",0,4
2020-04-14,"Central East",0,16
2020-04-14,"Central West",0,5
2020-04-14,"Far North Central",0,0
2020-04-14,"Far North East",0,6
2020-04-14,"Far North West",0,1
2020-04-14,"North Central",1,40
2020-04-14,"North East",0,4
2020-04-14,"North West",0,15
2020-04-14,"Not Assigned",0,0
2020-04-14,"Regina",2,65
2020-04-14,"Saskatoon",0,127
2020-04-14,"South Central",0,8
2020-04-14,"South East",0,5
2020-04-14,"South West",0,4
2020-04-15,"Central East",0,16
2020-04-15,"Central West",0,5
2020-04-15,"Far North Central",0,0
2020-04-15,"Far North East",0,6
2020-04-15,"Far North West",0,1
2020-04-15,"North Central",0,40
2020-04-15,"North East",0,4
2020-04-15,"North West",0,15
2020-04-15,"Not Assigned",0,0
2020-04-15,"Regina",1,66
2020-04-15,"Saskatoon",0,127
2020-04-15,"South Central",0,8
2020-04-15,"South East",0,5
2020-04-15,"South West",0,4
2020-04-16,"Central East",0,16
2020-04-16,"Central West",0,5
2020-04-16,"Far North Central",0,0
2020-04-16,"Far North East",0,6
2020-04-16,"Far North West",0,1
2020-04-16,"North Central",0,40
2020-04-16,"North East",0,4
2020-04-16,"North West",0,15
2020-04-16,"Not Assigned",0,0
2020-04-16,"Regina",1,67
2020-04-16,"Saskatoon",0,127
2020-04-16,"South Central",0,8
2020-04-16,"South East",0,5
2020-04-16,"South West",0,4
2020-04-17,"Central East",0,16
2020-04-17,"Central West",1,6
2020-04-17,"Far North Central",0,0
2020-04-17,"Far North East",0,6
2020-04-17,"Far North West",1,2
2020-04-17,"North Central",0,40
2020-04-17,"North East",0,4
2020-04-17,"North West",1,16
2020-04-17,"Not Assigned",0,0
2020-04-17,"Regina",1,68
2020-04-17,"Saskatoon",0,127
2020-04-17,"South Central",0,8
2020-04-17,"South East",0,5
2020-04-17,"South West",0,4
2020-04-18,"Central East",0,16
2020-04-18,"Central West",0,6
2020-04-18,"Far North Central",0,0
2020-04-18,"Far North East",0,6
2020-04-18,"Far North West",3,5
2020-04-18,"North Central",0,40
2020-04-18,"North East",0,4
2020-04-18,"North West",0,16
2020-04-18,"Not Assigned",0,0
2020-04-18,"Regina",0,68
2020-04-18,"Saskatoon",1,128
2020-04-18,"South Central",0,8
2020-04-18,"South East",0,5
2020-04-18,"South West",0,4
2020-04-19,"Central East",0,16
2020-04-19,"Central West",0,6
2020-04-19,"Far North Central",0,0
2020-04-19,"Far North East",0,6
2020-04-19,"Far North West",0,5
2020-04-19,"North Central",0,40
2020-04-19,"North East",0,4
2020-04-19,"North West",0,16
2020-04-19,"Not Assigned",0,0
2020-04-19,"Regina",0,68
2020-04-19,"Saskatoon",2,130
2020-04-19,"South Central",0,8
2020-04-19,"South East",0,5
2020-04-19,"South West",0,4
2020-04-20,"Central East",1,17
2020-04-20,"Central West",0,6
2020-04-20,"Far North Central",0,0
2020-04-20,"Far North East",0,6
2020-04-20,"Far North West",2,7
2020-04-20,"North Central",0,40
2020-04-20,"North East",0,4
2020-04-20,"North West",0,16
2020-04-20,"Not Assigned",0,0
2020-04-20,"Regina",0,68
2020-04-20,"Saskatoon",1,131
2020-04-20,"South Central",0,8
2020-04-20,"South East",0,5
2020-04-20,"South West",0,4
2020-04-21,"Central East",0,17
2020-04-21,"Central West",0,6
2020-04-21,"Far North Central",0,0
2020-04-21,"Far North East",0,6
2020-04-21,"Far North West",5,12
2020-04-21,"North Central",0,40
2020-04-21,"North East",0,4
2020-04-21,"North West",1,17
2020-04-21,"Not Assigned",0,0
2020-04-21,"Regina",0,68
2020-04-21,"Saskatoon",0,131
2020-04-21,"South Central",0,8
2020-04-21,"South East",0,5
2020-04-21,"South West",0,4
2020-04-22,"Central East",0,17
2020-04-22,"Central West",0,6
2020-04-22,"Far North Central",0,0
2020-04-22,"Far North East",0,6
2020-04-22,"Far North West",3,15
2020-04-22,"North Central",0,40
2020-04-22,"North East",0,4
2020-04-22,"North West",0,17
2020-04-22,"Not Assigned",1,1
2020-04-22,"Regina",0,68
2020-04-22,"Saskatoon",0,131
2020-04-22,"South Central",0,8
2020-04-22,"South East",0,5
2020-04-22,"South West",0,4
2020-04-23,"Central East",0,17
2020-04-23,"Central West",0,6
2020-04-23,"Far North Central",0,0
2020-04-23,"Far North East",0,6
2020-04-23,"Far North West",6,21
2020-04-23,"North Central",0,40
2020-04-23,"North East",0,4
2020-04-23,"North West",2,19
2020-04-23,"Not Assigned",0,1
2020-04-23,"Regina",2,70
2020-04-23,"Saskatoon",0,131
2020-04-23,"South Central",0,8
2020-04-23,"South East",0,5
2020-04-23,"South West",0,4
2020-04-24,"Central East",0,17
2020-04-24,"Central West",0,6
2020-04-24,"Far North Central",0,0
2020-04-24,"Far North East",0,6
2020-04-24,"Far North West",6,27
2020-04-24,"North Central",0,40
2020-04-24,"North East",0,4
2020-04-24,"North West",1,20
2020-04-24,"Not Assigned",0,1
2020-04-24,"Regina",0,70
2020-04-24,"Saskatoon",0,131
2020-04-24,"South Central",0,8
2020-04-24,"South East",0,5
2020-04-24,"South West",0,4
2020-04-25,"Central East",0,17
2020-04-25,"Central West",0,6
2020-04-25,"Far North Central",0,0
2020-04-25,"Far North East",0,6
2020-04-25,"Far North West",2,29
2020-04-25,"North Central",0,40
2020-04-25,"North East",0,4
2020-04-25,"North West",3,23
2020-04-25,"Not Assigned",0,1
2020-04-25,"Regina",1,71
2020-04-25,"Saskatoon",0,131
2020-04-25,"South Central",0,8
2020-04-25,"South East",0,5
2020-04-25,"South West",0,4
2020-04-26,"Central East",0,17
2020-04-26,"Central West",0,6
2020-04-26,"Far North Central",0,0
2020-04-26,"Far North East",0,6
2020-04-26,"Far North West",11,40
2020-04-26,"North Central",0,40
2020-04-26,"North East",0,4
2020-04-26,"North West",1,24
2020-04-26,"Not Assigned",0,1
2020-04-26,"Regina",0,71
2020-04-26,"Saskatoon",0,131
2020-04-26,"South Central",0,8
2020-04-26,"South East",0,5
2020-04-26,"South West",0,4
2020-04-27,"Central East",0,17
2020-04-27,"Central West",0,6
2020-04-27,"Far North Central",0,0
2020-04-27,"Far North East",0,6
2020-04-27,"Far North West",0,40
2020-04-27,"North Central",0,40
2020-04-27,"North East",0,4
2020-04-27,"North West",0,24
2020-04-27,"Not Assigned",0,1
2020-04-27,"Regina",1,72
2020-04-27,"Saskatoon",0,131
2020-04-27,"South Central",0,8
2020-04-27,"South East",0,5
2020-04-27,"South West",0,4
2020-04-28,"Central East",0,17
2020-04-28,"Central West",0,6
2020-04-28,"Far North Central",0,0
2020-04-28,"Far North East",0,6
2020-04-28,"Far North West",11,51
2020-04-28,"North Central",0,40
2020-04-28,"North East",0,4
2020-04-28,"North West",4,28
2020-04-28,"Not Assigned",1,2
2020-04-28,"Regina",0,72
2020-04-28,"Saskatoon",1,132
2020-04-28,"South Central",0,8
2020-04-28,"South East",0,5
2020-04-28,"South West",0,4
2020-04-29,"Central East",0,17
2020-04-29,"Central West",0,6
2020-04-29,"Far North Central",0,0
2020-04-29,"Far North East",0,6
2020-04-29,"Far North West",1,52
2020-04-29,"North Central",1,41
2020-04-29,"North East",0,4
2020-04-29,"North West",1,29
2020-04-29,"Not Assigned",1,3
2020-04-29,"Regina",0,72
2020-04-29,"Saskatoon",2,134
2020-04-29,"South Central",0,8
2020-04-29,"South East",0,5
2020-04-29,"South West",0,4
2020-04-30,"Central East",0,17
2020-04-30,"Central West",0,6
2020-04-30,"Far North Central",0,0
2020-04-30,"Far North East",0,6
2020-04-30,"Far North West",19,71
2020-04-30,"North Central",0,41
2020-04-30,"North East",0,4
2020-04-30,"North West",3,32
2020-04-30,"Not Assigned",0,3
2020-04-30,"Regina",0,72
2020-04-30,"Saskatoon",3,137
2020-04-30,"South Central",0,8
2020-04-30,"South East",0,5
2020-04-30,"South West",0,4
2020-05-01,"Central East",0,17
2020-05-01,"Central West",0,6
2020-05-01,"Far North Central",0,0
2020-05-01,"Far North East",0,6
2020-05-01,"Far North West",0,71
2020-05-01,"North Central",0,41
2020-05-01,"North East",0,4
2020-05-01,"North West",3,35
2020-05-01,"Not Assigned",1,4
2020-05-01,"Regina",1,73
2020-05-01,"Saskatoon",1,138
2020-05-01,"South Central",0,8
2020-05-01,"South East",0,5
2020-05-01,"South West",0,4
2020-05-02,"Central East",0,17
2020-05-02,"Central West",0,6
2020-05-02,"Far North Central",0,0
2020-05-02,"Far North East",0,6
2020-05-02,"Far North West",5,76
2020-05-02,"North Central",2,43
2020-05-02,"North East",0,4
2020-05-02,"North West",1,36
2020-05-02,"Not Assigned",2,6
2020-05-02,"Regina",0,73
2020-05-02,"Saskatoon",2,140
2020-05-02,"South Central",0,8
2020-05-02,"South East",0,5
2020-05-02,"South West",0,4
2020-05-03,"Central East",0,17
2020-05-03,"Central West",0,6
2020-05-03,"Far North Central",0,0
2020-05-03,"Far North East",0,6
2020-05-03,"Far North West",29,105
2020-05-03,"North Central",0,43
2020-05-03,"North East",0,4
2020-05-03,"North West",3,39
2020-05-03,"Not Assigned",1,7
2020-05-03,"Regina",0,73
2020-05-03,"Saskatoon",1,141
2020-05-03,"South Central",0,8
2020-05-03,"South East",0,5
2020-05-03,"South West",0,4
2020-05-04,"Central East",0,17
2020-05-04,"Central West",0,6
2020-05-04,"Far North Central",0,0
2020-05-04,"Far North East",0,6
2020-05-04,"Far North West",21,126
2020-05-04,"North Central",1,44
2020-05-04,"North East",0,4
2020-05-04,"North West",0,39
2020-05-04,"Not Assigned",0,7
2020-05-04,"Regina",0,73
2020-05-04,"Saskatoon",0,141
2020-05-04,"South Central",0,8
2020-05-04,"South East",0,5
2020-05-04,"South West",0,4
2020-05-05,"Central East",0,17
2020-05-05,"Central West",0,6
2020-05-05,"Far North Central",0,0
2020-05-05,"Far North East",0,6
2020-05-05,"Far North West",22,148
2020-05-05,"North Central",0,44
2020-05-05,"North East",0,4
2020-05-05,"North West",3,42
2020-05-05,"Not Assigned",1,8
2020-05-05,"Regina",0,73
2020-05-05,"Saskatoon",1,142
2020-05-05,"South Central",0,8
2020-05-05,"South East",0,5
2020-05-05,"South West",0,4
2020-05-06,"Central East",0,17
2020-05-06,"Central West",0,6
2020-05-06,"Far North Central",0,0
2020-05-06,"Far North East",0,6
2020-05-06,"Far North West",15,163
2020-05-06,"North Central",0,44
2020-05-06,"North East",0,4
2020-05-06,"North West",0,42
2020-05-06,"Not Assigned",0,8
2020-05-06,"Regina",0,73
2020-05-06,"Saskatoon",0,142
2020-05-06,"South Central",0,8
2020-05-06,"South East",0,5
2020-05-06,"South West",0,4
2020-05-07,"Central East",1,18
2020-05-07,"Central West",0,6
2020-05-07,"Far North Central",0,0
2020-05-07,"Far North East",0,6
2020-05-07,"Far North West",12,175
2020-05-07,"North Central",0,44
2020-05-07,"North East",0,4
2020-05-07,"North West",0,42
2020-05-07,"Not Assigned",0,8
2020-05-07,"Regina",0,73
2020-05-07,"Saskatoon",0,142
2020-05-07,"South Central",0,8
2020-05-07,"South East",0,5
2020-05-07,"South West",0,4
2020-05-08,"Central East",0,18
2020-05-08,"Central West",0,6
2020-05-08,"Far North Central",0,0
2020-05-08,"Far North East",0,6
2020-05-08,"Far North West",5,180
2020-05-08,"North Central",1,45
2020-05-08,"North East",0,4
2020-05-08,"North West",1,43
2020-05-08,"Not Assigned",0,8
2020-05-08,"Regina",0,73
2020-05-08,"Saskatoon",0,142
2020-05-08,"South Central",0,8
2020-05-08,"South East",0,5
2020-05-08,"South West",0,4
2020-05-09,"Central East",0,18
2020-05-09,"Central West",0,6
2020-05-09,"Far North Central",0,0
2020-05-09,"Far North East",0,6
2020-05-09,"Far North West",9,189
2020-05-09,"North Central",0,45
2020-05-09,"North East",0,4
2020-05-09,"North West",1,44
2020-05-09,"Not Assigned",1,9
2020-05-09,"Regina",0,73
2020-05-09,"Saskatoon",0,142
2020-05-09,"South Central",0,8
2020-05-09,"South East",0,5
2020-05-09,"South West",0,4
2020-05-10,"Central East",0,18
2020-05-10,"Central West",0,6
2020-05-10,"Far North Central",0,0
2020-05-10,"Far North East",0,6
2020-05-10,"Far North West",4,193
2020-05-10,"North Central",0,45
2020-05-10,"North East",0,4
2020-05-10,"North West",0,44
2020-05-10,"Not Assigned",0,9
2020-05-10,"Regina",0,73
